country,rich_west
Bangladesh,False
Bangladesh,False
Bangladesh,False
Bangladesh,False
Bangladesh,False
Bangladesh,False
Bangladesh,False
Bangladesh,False
Bangladesh,False
Bangladesh,False
Bangladesh,False
Bangladesh,False
Bangladesh,False
Bangladesh,False
Bangladesh,False
Armenia,False
Armenia,False
Armenia,False
Armenia,False
Armenia,False
Armenia,False
Armenia,False
Armenia,False
Armenia,False
Armenia,False
Armenia,False
Armenia,False
Armenia,False
Armenia,False
Armenia,False
Armenia,False
Armenia,False
Armenia,False
Armenia,False
Bolivia,False
Bolivia,False
Bolivia,False
Bolivia,False
Bolivia,False
Bolivia,False
Bolivia,False
Bolivia,False
Bolivia,False
Bolivia,False
Bolivia,False
Bolivia,False
Bolivia,False
Bolivia,False
Bolivia,False
Bolivia,False
Bolivia,False
Bolivia,False
Bolivia,False
Brazil,False
Brazil,False
Brazil,False
Brazil,False
Brazil,False
Brazil,False
Brazil,False
Brazil,False
Brazil,False
Brazil,False
Brazil,False
Brazil,False
Brazil,False
Brazil,False
Brazil,False
Brazil,False
Brazil,False
Brazil,False
Brazil,False
Myanmar,False
Myanmar,False
Myanmar,False
Myanmar,False
Myanmar,False
Myanmar,False
Myanmar,False
Myanmar,False
Myanmar,False
Myanmar,False
Myanmar,False
Myanmar,False
Myanmar,False
Myanmar,False
Myanmar,False
Myanmar,False
Myanmar,False
Myanmar,False
Myanmar,False
Chile,True
Chile,True
Chile,True
Chile,True
Chile,True
Chile,True
Chile,True
Chile,True
Chile,True
Chile,True
Chile,True
Chile,True
Chile,True
Chile,True
Chile,True
Chile,True
Chile,True
Chile,True
Chile,True
Taiwan,False
Taiwan,False
Taiwan,False
Taiwan,False
Taiwan,False
Taiwan,False
Taiwan,False
Taiwan,False
Taiwan,False
Taiwan,False
Taiwan,False
Taiwan,False
Taiwan,False
Taiwan,False
Taiwan,False
Taiwan,False
Taiwan,False
Taiwan,False
Taiwan,False
Colombia,False
Colombia,False
Colombia,False
Colombia,False
Colombia,False
Colombia,False
Colombia,False
Colombia,False
Colombia,False
Colombia,False
Colombia,False
Colombia,False
Colombia,False
Colombia,False
Colombia,False
Colombia,False
Colombia,False
Colombia,False
Colombia,False
Germany,True
Germany,True
Germany,True
Germany,True
Germany,True
Germany,True
Germany,True
Germany,True
Germany,True
Germany,True
Germany,True
Germany,True
Germany,True
Germany,True
Germany,True
Germany,True
Germany,True
Germany,True
Germany,True
Iran,False
Iran,False
Iran,False
Iran,False
Iran,False
Iran,False
Iran,False
Iran,False
Iran,False
Iran,False
Iran,False
Iran,False
Iran,False
Iran,False
Iran,False
Iran,False
Iran,False
Japan,False
Japan,False
Japan,False
Japan,False
Japan,False
Japan,False
Japan,False
Japan,False
Japan,False
Japan,False
Japan,False
Japan,False
Japan,False
Japan,False
Japan,False
Japan,False
Japan,False
Japan,False
Japan,False
Kazakhstan,False
Kazakhstan,False
Kazakhstan,False
Kazakhstan,False
Kazakhstan,False
Kazakhstan,False
Kazakhstan,False
Kazakhstan,False
Kazakhstan,False
Kazakhstan,False
Kazakhstan,False
Kazakhstan,False
Kazakhstan,False
Kazakhstan,False
Kazakhstan,False
Kazakhstan,False
Kazakhstan,False
Kazakhstan,False
Kazakhstan,False
South Korea,False
South Korea,False
South Korea,False
South Korea,False
South Korea,False
South Korea,False
South Korea,False
South Korea,False
South Korea,False
South Korea,False
South Korea,False
South Korea,False
South Korea,False
South Korea,False
South Korea,False
South Korea,False
South Korea,False
South Korea,False
South Korea,False
Kyrgyzstan,False
Kyrgyzstan,False
Kyrgyzstan,False
Kyrgyzstan,False
Kyrgyzstan,False
Kyrgyzstan,False
Kyrgyzstan,False
Kyrgyzstan,False
Kyrgyzstan,False
Kyrgyzstan,False
Kyrgyzstan,False
Kyrgyzstan,False
Kyrgyzstan,False
Kyrgyzstan,False
Kyrgyzstan,False
Kyrgyzstan,False
Kyrgyzstan,False
Kyrgyzstan,False
Kyrgyzstan,False
Lebanon,False
Lebanon,False
Lebanon,False
Lebanon,False
Lebanon,False
Lebanon,False
Lebanon,False
Lebanon,False
Lebanon,False
Lebanon,False
Lebanon,False
Lebanon,False
Lebanon,False
Lebanon,False
Lebanon,False
Lebanon,False
Lebanon,False
Mexico,False
Mexico,False
Mexico,False
Mexico,False
Mexico,False
Mexico,False
Mexico,False
Mexico,False
Mexico,False
Mexico,False
Mexico,False
Mexico,False
Mexico,False
Mexico,False
Mexico,False
Mexico,False
Mexico,False
Mexico,False
Mexico,False
Pakistan,False
Pakistan,False
Pakistan,False
Pakistan,False
Pakistan,False
Pakistan,False
Pakistan,False
Pakistan,False
Pakistan,False
Pakistan,False
Pakistan,False
Pakistan,False
Pakistan,False
Pakistan,False
Pakistan,False
Pakistan,False
Pakistan,False
Pakistan,False
Pakistan,False
Peru,False
Peru,False
Peru,False
Peru,False
Peru,False
Peru,False
Peru,False
Peru,False
Peru,False
Peru,False
Peru,False
Peru,False
Peru,False
Peru,False
Peru,False
Peru,False
Peru,False
Peru,False
Peru,False
Romania,False
Romania,False
Romania,False
Romania,False
Romania,False
Romania,False
Romania,False
Romania,False
Romania,False
Romania,False
Romania,False
Romania,False
Romania,False
Romania,False
Romania,False
Romania,False
Romania,False
Romania,False
Romania,False
Russia,False
Russia,False
Russia,False
Russia,False
Russia,False
Russia,False
Russia,False
Russia,False
Russia,False
Russia,False
Russia,False
Russia,False
Russia,False
Russia,False
Russia,False
Russia,False
Russia,False
Russia,False
Russia,False
Turkey,False
Turkey,False
Turkey,False
Turkey,False
Turkey,False
Turkey,False
Turkey,False
Turkey,False
Turkey,False
Turkey,False
Turkey,False
Turkey,False
Turkey,False
Turkey,False
Turkey,False
Turkey,False
Turkey,False
Ukraine,False
Ukraine,False
Ukraine,False
Ukraine,False
Ukraine,False
Ukraine,False
Ukraine,False
Ukraine,False
Ukraine,False
Ukraine,False
Ukraine,False
Ukraine,False
Ukraine,False
Ukraine,False
Ukraine,False
Ukraine,False
Ukraine,False
Ukraine,False
Ukraine,False
Egypt,False
Egypt,False
Egypt,False
Egypt,False
Egypt,False
Egypt,False
Egypt,False
Egypt,False
Egypt,False
Egypt,False
Egypt,False
Egypt,False
Egypt,False
Egypt,False
Egypt,False
United States of America,True
United States of America,True
United States of America,True
United States of America,True
United States of America,True
United States of America,True
United States of America,True
United States of America,True
United States of America,True
United States of America,True
United States of America,True
United States of America,True
United States of America,True
United States of America,True
United States of America,True
United States of America,True
United States of America,True
United States of America,True
United States of America,True
Mongolia,False
Mongolia,False
Mongolia,False
